,Filename,Model,Name,Species,n_elect,ENMAX
153,potpaw_PBE/Ir/POTCAR,gga-pbe,Ir-gga-pbe,['Ir'],9.0,210.864
154,potpaw_PBE/Ir_sv_GW/POTCAR,gga-pbe,Ir_sv_GW-gga-pbe,['Ir'],17.0,319.843
155,potpaw_PBE/K/POTCAR,gga-pbe,K-gga-pbe,['K'],9.0,259.216
156,potpaw_PBE/K_pv/POTCAR,gga-pbe,K_pv-gga-pbe,['K'],7.0,116.731
157,potpaw_PBE/K_sv/POTCAR,gga-pbe,K_sv-gga-pbe,['K'],9.0,259.264
158,potpaw_PBE/K_sv_GW/POTCAR,gga-pbe,K_sv_GW-gga-pbe,['K'],9.0,248.998
159,potpaw_PBE/Kr/POTCAR,gga-pbe,Kr-gga-pbe,['Kr'],8.0,185.331
160,potpaw_PBE/Kr_GW/POTCAR,gga-pbe,Kr_GW-gga-pbe,['Kr'],8.0,252.232
161,potpaw_PBE/La/POTCAR,gga-pbe,La-gga-pbe,['La'],11.0,219.292
162,potpaw_PBE/La_GW/POTCAR,gga-pbe,La_GW-gga-pbe,['La'],11.0,313.688
163,potpaw_PBE/La_s/POTCAR,gga-pbe,La_s-gga-pbe,['La'],9.0,136.53
164,potpaw_PBE/Li/POTCAR,gga-pbe,Li-gga-pbe,['Li'],1.0,140.0
165,potpaw_PBE/Li_AE_GW/POTCAR,gga-pbe,Li_AE_GW-gga-pbe,['Li'],3.0,433.699
166,potpaw_PBE/Li_GW/POTCAR,gga-pbe,Li_GW-gga-pbe,['Li'],1.0,112.104
167,potpaw_PBE/Li_sv/POTCAR,gga-pbe,Li_sv-gga-pbe,['Li'],3.0,499.034
168,potpaw_PBE/Li_sv_GW/POTCAR,gga-pbe,Li_sv_GW-gga-pbe,['Li'],3.0,433.699
169,potpaw_PBE/Lu/POTCAR,gga-pbe,Lu-gga-pbe,['Lu'],25.0,255.695
170,potpaw_PBE/Lu_3/POTCAR,gga-pbe,Lu_3-gga-pbe,['Lu'],9.0,154.992
171,potpaw_PBE/Mg/POTCAR,gga-pbe,Mg-gga-pbe,['Mg'],2.0,200.0
172,potpaw_PBE/Mg_GW/POTCAR,gga-pbe,Mg_GW-gga-pbe,['Mg'],2.0,126.143
173,potpaw_PBE/Mg_pv/POTCAR,gga-pbe,Mg_pv-gga-pbe,['Mg'],8.0,403.929
174,potpaw_PBE/Mg_pv_GW/POTCAR,gga-pbe,Mg_pv_GW-gga-pbe,['Mg'],8.0,403.929
175,potpaw_PBE/Mg_sv/POTCAR,gga-pbe,Mg_sv-gga-pbe,['Mg'],10.0,495.223
176,potpaw_PBE/Mg_sv_GW/POTCAR,gga-pbe,Mg_sv_GW-gga-pbe,['Mg'],10.0,429.893
177,potpaw_PBE/Mn/POTCAR,gga-pbe,Mn-gga-pbe,['Mn'],7.0,269.864
178,potpaw_PBE/Mn_GW/POTCAR,gga-pbe,Mn_GW-gga-pbe,['Mn'],7.0,278.466
179,potpaw_PBE/Mn_pv/POTCAR,gga-pbe,Mn_pv-gga-pbe,['Mn'],13.0,269.864
180,potpaw_PBE/Mn_sv/POTCAR,gga-pbe,Mn_sv-gga-pbe,['Mn'],15.0,387.187
181,potpaw_PBE/Mn_sv_GW/POTCAR,gga-pbe,Mn_sv_GW-gga-pbe,['Mn'],15.0,384.627
182,potpaw_PBE/Mo/POTCAR,gga-pbe,Mo-gga-pbe,['Mo'],6.0,224.584
183,potpaw_PBE/Mo_pv/POTCAR,gga-pbe,Mo_pv-gga-pbe,['Mo'],12.0,224.584
184,potpaw_PBE/Mo_sv/POTCAR,gga-pbe,Mo_sv-gga-pbe,['Mo'],14.0,242.676
185,potpaw_PBE/Mo_sv_GW/POTCAR,gga-pbe,Mo_sv_GW-gga-pbe,['Mo'],14.0,344.914
186,potpaw_PBE/N/POTCAR,gga-pbe,N-gga-pbe,['N'],5.0,400.0
187,potpaw_PBE/N_GW/POTCAR,gga-pbe,N_GW-gga-pbe,['N'],5.0,420.902
188,potpaw_PBE/N_GW_new/POTCAR,gga-pbe,N_GW_new-gga-pbe,['N'],5.0,420.902
